产品类别,销售数量,单价,客户所在城市,支付方式,订单日期,销售金额
家居用品,10,199,合肥,支付宝,2025-06-01,1990
食品,5,29,天津,现金,2025-06-01,145
电子产品,5,399,福州,微信支付,2025-06-01,1995
食品,3,29,北京,银行卡,2025-06-02,87
食品,2,19,,微信支付,2025/06/02,38
图书,4,29,广州,现金,2025-06-02,116
服装,7,-29,郑州,现金,2025-06-02,-203
服装,6,199,武汉,银行卡,2025-06-02,1194
电子产品,9,299,福州,银行卡,2025-06-03,2691
图书,2,99,青岛,微信支付,2025-06-04,198
食品,9,29,重庆,支付宝,2025-06-04,261
家居用品,10,199,武汉,现金,2025-06-04,1990
电子产品,3,89,合肥,银行卡,2025-06-04,267
图书,8,39,深圳,支付宝,2025-06-04,312
电子产品,10,199,重庆,微信支付,2025-06-04,1990
图书,5,39,重庆,现金,2025-06-05,195
食品,2,79,南京,微信支付,2025-06-05,158
图书,6,49,合肥,银行卡,2025-06-05,294
家居用品,6,49,昆明,现金,2025-06-05,294
服装,10,399,重庆,现金,2025-06-05,3990
食品,10,89,南京,现金,2025-06-05,890
图书,5,129,青岛,银行卡,2025-06-06,645
电子产品,9,2999,郑州,微信支付,2025-06-06,26991
服装,8,129,青岛,微信支付,2025-06-07,1032
电子产品,8,2999,天津,微信支付,2025-06-07,23992
服装,3,399,深圳,微信支付,2025-06-07,1197
食品,9,59,长沙,支付宝,2025-06-07,531
服装,6,299,苏州,银行卡,2025-06-07,1794
家居用品,1,39,长沙,现金,2025-06-07,39
食品,4,129,南京,现金,2025-06-08,516
图书,6,49,深圳,银行卡,2025-06-08,294
服装,2,149,昆明,支付宝,2025-06-08,298
服装,7,249,杭州,支付宝,2025-06-09,1743
服装,8,149,厦门,现金,2025-06-09,1192
电子产品,2,39,武汉,银行卡,2025-06-09,78
电子产品,5,1299,福州,现金,2025-06-09,6495
家居用品,6,89,郑州,现金,2025-06-09,534
食品,2,19,郑州,现金,2025-06-09,38
图书,7,39,成都,支付宝,2025-06-09,273
图书,5,59,武汉,微信支付,2025-06-10,295
服装,8,29,青岛,银行卡,2025-06-11,232
家居用品,2,39,上海,银行卡,2025-06-12,78
食品,1,49,福州,微信支付,2025-06-12,49
食品,2,39,合肥,支付宝,2025-06-12,78
电子产品,9,89,厦门,微信支付,2025-06-13,801
家居用品,2,49,长沙,现金,2025-06-13,98
服装,7,249,西安,银行卡,2025-06-13,1743
电子产品,1,5999,武汉,银行卡,2025-06-13,5999
图书,4,89,福州,微信支付,2025-06-14,356
食品,7,89,天津,支付宝,2025-06-14,623
家居用品,4,39,杭州,现金,2025-06-14,156
电子产品,2,299,郑州,微信支付,2025-06-14,598
服装,2,129,天津,现金,2025-06-14,258
电子产品,9,39,天津,支付宝,2025-06-14,351
家居用品,5,39,福州,支付宝,2025-06-15,195
食品,10,29,天津,微信支付,2025-06-15,290
食品,6,39,合肥,银行卡,2025-06-15,234
服装,2,249,青岛,现金,2025-06-16,498
家居用品,7,3999,武汉,微信支付,2025-06-16,27993
食品,5,69,上海,支付宝,2025-06-16,345
服装,4,199,苏州,现金,2025-06-16,796
食品,7,69,北京,微信支付,2025-06-17,483
食品,4,29,宁波,现金,2025-06-17,116
电子产品,3,199,深圳,现金,2025-06-17,597
家居用品,6,199,北京,银行卡,2025-06-18,1194
服装,4,899,合肥,微信支付,2025-06-18,3596
电子产品,10,399,重庆,微信支付,2025-06-18,3990
电子产品,1,49,昆明,现金,2025-06-18,49
服装,5,59,昆明,微信支付,2025-06-18,295
家居用品,2,49,宁波,支付宝,2025-06-18,98
食品,6,59,合肥,微信支付,2025-06-19,354
服装,6,599,长沙,支付宝,2025-06-19,3594
食品,5,89,福州,微信支付,2025-06-19,445
家居用品,1,399,厦门,支付宝,2025-06-19,399
电子产品,1,299,青岛,现金,2025-06-19,299
图书,9,59,苏州,现金,2025-06-19,531
服装,5,129,南京,支付宝,2025-06-20,645
电子产品,9,49,武汉,微信支付,2025-06-20,441
家居用品,9,49,上海,银行卡,2025-06-21,441
服装,1,199,深圳,现金,2025-06-21,199
服装,2,349,郑州,微信支付,2025-06-21,698
食品,1,79,天津,现金,2025-06-22,79
图书,3,39,青岛,微信支付,2025-06-22,117
食品,3,49,苏州,银行卡,2025-06-23,147
服装,2,299,合肥,支付宝,2025-06-23,598
图书,9,49,厦门,银行卡,2025-06-23,441
家居用品,8,39,北京,支付宝,2025-06-23,312
图书,3,39,青岛,支付宝,2025-06-23,117
家居用品,5,5999,南京,银行卡,2025-06-24,29995
电子产品,1,299,成都,微信支付,2025-06-25,299
电子产品,6,39,天津,银行卡,2025-06-25,234
家居用品,4,5999,合肥,支付宝,2025-06-25,23996
家居用品,8,299,合肥,银行卡,2025-06-25,2392
电子产品,6,199,上海,现金,2025-06-26,1194
家居用品,5,39,福州,银行卡,2025-06-26,195
图书,3,99,天津,现金,2025-06-26,297
食品,7,89,武汉,微信支付,2025-06-27,623
食品,8,19,重庆,支付宝,2025-06-27,152
食品,10,199,重庆,微信支付,2025-06-27,1990
食品,5,19,南京,微信支付,2025-06-27,95
服装,8,699,上海,支付宝,2025-06-28,5592
图书,8,29,合肥,支付宝,2025-06-29,232
服装,8,129,深圳,支付宝,2025-06-29,1032
电子产品,2,249,重庆,微信支付,2025-06-29,498
图书,6,99,郑州,支付宝,2025-06-29,594
家居用品,10,29,南京,支付宝,2025-06-29,290
服装,8,349,苏州,微信支付,2025-06-30,2792
图书,4,49,天津,银行卡,2025-06-30,196
服装,3,199,西安,支付宝,2025-06-30,597
图书,5,59,昆明,银行卡,2025-07-01,295
服装,6,699,长沙,银行卡,2025-07-01,4194
图书,7,99,天津,支付宝,2025-07-01,693
家居用品,2,59,青岛,银行卡,2025-07-02,118
食品,6,199,郑州,支付宝,2025-07-02,1194
图书,9,59,福州,银行卡,2025-07-02,531
家居用品,1,39,郑州,支付宝,2025-07-02,39
食品,2,89,武汉,支付宝,2025-07-03,178
家居用品,2,89,宁波,微信支付,2025-07-03,178
食品,4,89,长沙,支付宝,2025-07-03,356
家居用品,3,3999,长沙,银行卡,2025-07-03,11997
电子产品,4,249,昆明,微信支付,2025-07-04,996
食品,10,79,西安,微信支付,2025-07-04,790
食品,7,49,成都,微信支付,2025-07-04,343
家居用品,8,5999,深圳,银行卡,2025-07-04,47992
家居用品,1,59,南京,支付宝,2025-07-04,59
食品,4,69,广州,支付宝,2025-07-05,276
电子产品,5,39,厦门,微信支付,2025-07-05,195
家居用品,10,399,深圳,支付宝,2025-07-05,3990
图书,10,99,南京,支付宝,2025-07-06,990
家居用品,1,79,南京,支付宝,2025-07-06,79
图书,5,39,厦门,支付宝,2025-07-06,195
电子产品,2,5999,深圳,微信支付,2025-07-06,11998
电子产品,1,129,广州,银行卡,2025-07-06,129
服装,7,499,福州,支付宝,2025-07-07,3493
电子产品,7,299,昆明,银行卡,2025-07-07,2093
